code,name,industry
3756,豆蔵ＨＤ,情報・通信業
3762,テクマト,情報・通信業
3765,ガンホー,情報・通信業
3769,ＧＭＯＰＧ,情報・通信業
3770,ザッパラス,情報・通信業
3771,システムリサーチ,情報・通信業
3774,ＩＩＪ,情報・通信業
3778,さくらインターネット,情報・通信業
3788,ＧＭＯクラウド,情報・通信業
3817,ＳＲＡＨＤ,情報・通信業
3822,Ｍｉｎｏｒｉ,情報・通信業
3826,ＳＩ,情報・通信業
3834,朝日ネット,情報・通信業
3837,アドソル日進,情報・通信業
3843,フリービット,情報・通信業
3844,コムチュア,情報・通信業
3852,サイバーコム,情報・通信業
3861,王子ＨＤ,パルプ・紙
3863,日本紙,パルプ・紙
3864,三菱紙,パルプ・紙
3865,北越紀州,パルプ・紙
3877,中越パル,パルプ・紙
3878,巴川紙,パルプ・紙
3880,大王紙,パルプ・紙
3896,阿波製紙,パルプ・紙
3902,ＭＤＶ,情報・通信業
3903,ｇｕｍｉ,情報・通信業
3909,ショーケースＴＶ,情報・通信業
3916,ＤＩＴ,情報・通信業
3918,ＰＣＩＨＤ,情報・通信業
3919,パイプドＨＤ,情報・通信業
3920,アイビーシー,情報・通信業
3926,オープンドア,情報・通信業
3938,ＬＩＮＥ,情報・通信業
3941,レンゴー,パルプ・紙
3946,トーモク,パルプ・紙
3950,ザ・パック,パルプ・紙
3964,オークネット,情報・通信業
3975,ＡＯＩ　ＴＹＯ　ＨＤ,情報・通信業
3978,マクロミル,情報・通信業
4004,昭電工,化学
4005,住友化,化学
4008,住友精化,化学
4021,日産化,化学
4022,ラサ工,化学
4023,クレハ,化学
4025,多木化学,化学
4027,テイカ,化学
4028,石原産,化学
4031,片倉コープアグリ,化学
4033,日東エフシー,化学
4041,日曹達,化学
4042,東ソー,化学
4043,トクヤマ,化学
4044,セ硝子,化学
4045,東亜合,化学
4046,大阪ソーダ,化学
4047,関電化,化学
4061,デンカ,化学
4062,イビデン,電気機器
4063,信越化,化学
4064,カーバイド,化学
4078,堺化学,化学
4088,エア・ウォーター,化学
4091,大陽日酸,化学
4092,日本化,化学
4095,日パーカライ,化学
4097,高圧ガス,化学
4098,チタン工,化学
4099,四国化,化学
4100,戸田工,化学
4109,ステラケミファ,化学
4112,保土谷化,化学
4114,日触媒,化学
4116,大日精化,化学
4118,カネカ,化学
4151,協和キリン,医薬品
4182,菱瓦斯化,化学
4183,三井化学,化学
4185,ＪＳＲ,化学
4186,東応化,化学
4187,大有機化,化学
4188,三菱ケミＨＤ,化学
4189,ＫＨネオケム,化学
4202,ダイセル,化学
4203,住友ベーク,化学
4204,積水化,化学
4205,日ゼオン,化学
4206,アイカ工,化学
4208,宇部興,化学
4212,積水樹脂,化学
4215,タキロンシーアイ,化学
4216,旭有機材,化学
4217,日立化成,化学
4218,ニチバン,化学
4220,リケンテクノス,化学
4221,大倉工,化学
4228,積水化成,化学
4229,群栄化,化学
4231,タイガーポリ,化学
4238,ミライアル,化学
4245,ダイキアクシス,化学
4246,ＤＮＣ,化学
4272,日化薬,化学
4275,カーリットＨＤ,化学
4282,ＥＰＳ,サービス業
4284,ソルクシーズ,情報・通信業
4286,レッグス,サービス業
4290,ＰＩ,サービス業
4295,フェイス,情報・通信業
4299,ハイマックス,情報・通信業
4301,アミューズ,サービス業
4307,ＮＲＩ,情報・通信業
4310,ＤＩ,サービス業
4312,サイバネット,情報・通信業
4318,クイック,サービス業
4319,ＴＡＣ,サービス業
4320,ＣＥＨＤ,情報・通信業
4321,ケネディクス,サービス業
4324,電通,サービス業
4326,インテージＨＤ,情報・通信業
4331,Ｔ＆Ｇニーズ,サービス業
4333,東邦システム,情報・通信業
4337,ぴあ,サービス業
4343,イオンファン,サービス業
4344,ソースネクスト,情報・通信業
4345,シーティーエス,サービス業
4346,ネクシィーズグループ,サービス業
4350,メディシス,小売業
4362,日本精化,化学
4368,扶桑化学,化学
4401,ＡＤＥＫＡ,化学
4403,日油,化学
4404,ミヨシ油脂,食料品
4406,新日本理化,化学
4410,ハリマ化成Ｇ,化学
4452,花王,化学
4461,第一工業,化学
4463,日華化学,化学
4465,ニイタカ,化学
4471,三洋化成,化学
4502,武田薬,医薬品
4503,アステラス薬,医薬品
4506,大日住薬,医薬品
4507,塩野義薬,医薬品
4508,田辺三菱,医薬品
4512,わかもと,医薬品
4514,あすか薬,医薬品
4516,日本新薬,医薬品
4517,ビオフェルミン,医薬品
4519,中外薬,医薬品
4521,科研薬,医薬品
4523,エーザイ,医薬品
4526,理研ビタミン,食料品
4527,ロート薬,医薬品
4528,小野薬,医薬品
4530,久光薬,医薬品
4531,有機薬,化学
4534,持田薬,医薬品
4536,参天薬,医薬品
4538,扶桑薬,医薬品
4539,日ケミファ,医薬品
4540,ツムラ,医薬品
4541,日医工,医薬品
4543,テルモ,精密機器
4544,みらかＨＤ,サービス業
4547,キッセイ薬,医薬品
4548,生化学,医薬品
4549,栄研化,医薬品
4550,日水薬,医薬品
4551,鳥居薬,医薬品
4552,ＪＣＲファーマ,医薬品
4553,東和薬品,医薬品
4554,富士製薬,医薬品
4555,沢井薬,医薬品
4559,ゼリア新薬,医薬品
4568,第一三共,医薬品
4569,キョーリンＨＤ,医薬品
4574,大幸薬品,医薬品
4577,ダイト,医薬品
4578,大塚ＨＤ,医薬品
4581,大正薬ＨＤ,医薬品
4587,ペプチドリーム,医薬品
4611,大日塗料,化学
4612,日ペイントＨＤ,化学
4613,関ペイント,化学
4615,神東塗料,化学
4617,中国塗料,化学
4619,日特塗料,化学
4620,藤倉化,化学
4626,太陽ＨＤ,化学
4631,ＤＩＣ,化学
4633,サカタインクス,化学
4634,洋インキＨＤ,化学
4636,Ｔ＆ＫＴＯＫＡ,化学
4641,アルプス技,サービス業
4651,サニックス,サービス業
4653,ダイオーズ,サービス業
4658,日本空調,サービス業
4661,ＯＬＣ,サービス業
4662,フォーカスシステムズ,情報・通信業
4665,ダスキン,サービス業
4666,パーク２４,不動産業
4668,明光ネット,サービス業
4671,ファルコＨＤ,サービス業
4674,クレスコ,情報・通信業
4676,フジＨＤ,情報・通信業
4678,秀英,サービス業
4679,田谷,サービス業
4680,ラウンドワン,サービス業
4681,リゾートトラ,サービス業
4684,オービック,情報・通信業
4686,ジャストシステム,情報・通信業
4687,ＴＤＣソフト,情報・通信業
4689,ヤフー,情報・通信業
4694,ＢＭＬ,サービス業
4696,ワタベ,サービス業
4704,トレンド,情報・通信業
4708,りらいあ,サービス業
4709,ＩＤ,情報・通信業
4714,リソー教育,サービス業
4716,日本オラクル,情報・通信業
4718,早稲アカ,サービス業
4719,アルファ,情報・通信業
4722,フューチャー,情報・通信業
4725,ＣＡＣＨＤ,情報・通信業
4726,ソフトバンテク,情報・通信業
4728,トーセ,情報・通信業
4732,ＵＳＳ,サービス業
4733,ＯＢＣ,情報・通信業
4739,ＣＴＣ,情報・通信業
4743,アイティフォー,情報・通信業
4745,東京個別,サービス業
4746,東計電算,情報・通信業
4751,サイバーエージェント,サービス業
4755,楽天,サービス業
4762,ＸＮＥＴ,情報・通信業
4763,Ｃ＆Ｒ社,サービス業
4767,ＴＯＷ,サービス業
4768,大塚商会,情報・通信業
4775,総合メディ,小売業
4776,ＣＹＢＯＺＵ,情報・通信業
4779,ソフトブレーン,情報・通信業
4801,セントラルＳＰ,サービス業
4809,パラカ,不動産業
4812,ＩＳＩＤ,情報・通信業
4819,デジタルガレージ,情報・通信業
4820,ＥＭシステムズ,情報・通信業
4825,ＷＮＩウェザー,情報・通信業
4826,ＣＩＪ,情報・通信業
4828,東洋ＢＥＮＧ,情報・通信業
4829,日本エンタープライズ,情報・通信業
4839,ＷＯＷＯＷ,情報・通信業
4845,スカラ,情報・通信業
4848,フルキャストＨＤ,サービス業
4901,富士フイルム,化学
4902,コニカミノルタ,電気機器
4911,資生堂,化学
4912,ライオン,化学
4914,高砂香料,化学
4917,マンダム,化学
4919,ミルボン,化学
4921,ファンケル,化学
4922,コーセー,化学
4923,ＣＯＴＡ,化学
4924,シーズＨＤ,化学
4926,シーボン,化学
4927,ポーラオルＨＤ,化学
4928,ノエビアＨＤ,化学
4929,アジュバン,化学
4951,エステー,化学
4955,アグロカネショウ,化学
4956,コニシ,化学
4958,長谷川香,化学
4963,星光ＰＭＣ,化学
4967,小林製薬,化学
4968,荒川化学,化学
4971,メック,化学
4973,高純度化,化学
4974,タカラバイオ,化学
4975,ＪＣＵ,化学
4977,ニッタゼラチン,化学
4979,ＯＡＴアグリオ,化学
4980,デクセリアルズ,化学
4985,アース製薬,化学
4992,北興化,化学
4994,大成ラミック,化学
4996,クミアイ化,化学
4997,日農薬,化学
5002,昭和シェル,石油・石炭製品
5009,富士興産,卸売業
5011,ニチレキ,石油・石炭製品
5013,ユシロ化,石油・石炭製品
5015,ＢＰカストロール,石油・石炭製品
5017,富士石油,石油・石炭製品
5018,ＭＯＲＥＳＣＯ,石油・石炭製品
5019,出光興産,石油・石炭製品
5020,ＪＸＴＧ,石油・石炭製品
5021,コスモエネルギーＨＤ,石油・石炭製品
5101,浜ゴム,ゴム製品
5105,洋ゴム,ゴム製品
5108,ブリヂス,ゴム製品
5110,住友ゴム,ゴム製品
5121,藤倉ゴム,ゴム製品
5122,オカモト,ゴム製品
5142,アキレス,化学
5185,フコク,ゴム製品
5186,ニッタ,ゴム製品
5187,クリエート,精密機器
5191,住友理工,ゴム製品
5192,三星ベルト,ゴム製品
5195,バンドー化,ゴム製品
5201,旭硝子,ガラス・土石製品
5202,板硝子,ガラス・土石製品
5204,石塚硝,ガラス・土石製品
5208,有沢製,化学
5210,日山村硝,ガラス・土石製品
5214,日電硝,ガラス・土石製品
5218,オハラ,ガラス・土石製品
5232,住友大阪,ガラス・土石製品
5233,太平洋セメ,ガラス・土石製品
5261,リソル,サービス業
5262,日ヒューム,ガラス・土石製品
5269,日コンクリ,ガラス・土石製品
5273,三谷セキサン,ガラス・土石製品
5288,アジアパイルＨＤ,ガラス・土石製品
5301,東海カーボ,ガラス・土石製品
5302,日カーボン,ガラス・土石製品
5310,東洋炭素,ガラス・土石製品
5331,ノリタケ,ガラス・土石製品
5332,ＴＯＴＯ,ガラス・土石製品
5333,日本ガイシ,ガラス・土石製品
5334,日特殊陶,ガラス・土石製品
5337,ダントーＨＤ,ガラス・土石製品
5344,ＭＡＲＵＷＡ,ガラス・土石製品
5351,品川リフラ,ガラス・土石製品
5352,黒崎播磨,ガラス・土石製品
5357,ヨータイ,ガラス・土石製品
5358,イソライト工業,ガラス・土石製品
5363,ＴＹＫ,ガラス・土石製品
5367,ニッカトー,ガラス・土石製品
5384,ＦＵＪＩＭＩ,ガラス・土石製品
5391,Ａ＆Ａマテリアル,ガラス・土石製品
5393,ニチアス,ガラス・土石製品
5401,新日鉄住金,鉄鋼
5406,神戸鋼,鉄鋼
5408,中山鋼,鉄鋼
5410,合同鉄,鉄鋼
5411,ＪＦＥ,鉄鋼
5413,日新製鋼,鉄鋼
5423,東製鉄,鉄鋼
5440,共英製鋼,鉄鋼
5444,大和工,鉄鋼
5445,東京鉄,鉄鋼
5449,大阪製鉄,鉄鋼
5451,淀川鋼,鉄鋼
5453,洋鋼鈑,鉄鋼
5463,丸一鋼管,鉄鋼
5464,モリ工業,鉄鋼
5471,大同特鋼,鉄鋼
5476,高周波,鉄鋼
5480,冶金工,鉄鋼
5481,山陽特鋼,鉄鋼
5482,愛知鋼,鉄鋼
5486,日立金,鉄鋼
5491,日本金属,鉄鋼
5541,大平洋金,鉄鋼
5563,新日本電工,鉄鋼
5602,栗本鉄,鉄鋼
5603,虹技,鉄鋼
5612,日鋳鉄管,鉄鋼
5631,日製鋼所,機械
5632,三菱製鋼,鉄鋼
5658,日亜鋼,鉄鋼
5659,日精線,鉄鋼
5702,大紀アルミ,非鉄金属
5703,日軽金ＨＤ,非鉄金属
5706,三井金,非鉄金属
5707,東邦鉛,非鉄金属
5711,三菱マ,非鉄金属
5713,住友鉱,非鉄金属
5714,ＤＯＷＡ,非鉄金属
5715,古河機金,非鉄金属
5721,エス・サイエンス,非鉄金属
5726,大阪チタ,非鉄金属
5727,邦チタニウム,非鉄金属
5741,ＵＡＣＪ,非鉄金属
5801,古河電工,非鉄金属
5802,住友電工,非鉄金属
5803,フジクラ,非鉄金属
5805,昭電線ＨＤ,非鉄金属
5807,東特電線,非鉄金属
5809,タツタ線,非鉄金属
5815,沖電線,非鉄金属
5819,カナレ電気,非鉄金属
5821,平河ヒューテ,非鉄金属
5851,リョービ,非鉄金属
5852,アーレスティ,非鉄金属
5857,アサヒＨＤ,非鉄金属
5901,洋缶ＨＤ,金属製品
5902,ホッカンＨＤ,金属製品
5909,コロナ,金属製品
5911,横河ブＨＤ,金属製品
5912,ＯＳＪＢＨＤ,建設業
5915,駒井ハルテク,金属製品
5923,高田機工,金属製品
5929,三和ＨＤ,金属製品
5930,文化シヤター,金属製品
5932,三協立山,金属製品
5933,アルインコ,金属製品
5936,洋シヤター,金属製品
5938,ＬＩＸＩＬ　Ｇ,金属製品
5942,日フイルコン,金属製品
5943,ノーリツ,金属製品
5946,長府製,金属製品
5947,リンナイ,金属製品
5949,ユニプレス,輸送用機器
